sounclass_id,species_name,sound_class,scientific_name,freq_low,freq_high
270,¬ü¬w¤ûµì,S-01,Lithobates catesbeianus,83,4592
271,¬ü°ê¾ðÃÊ,S-01,Hyla cinerea,0,10000
272,®üÃÊßï,S-01,Rhinella marina,0,10000
273,ª÷½uµì,S-01,Pelophylax fukienensis,0,10000
274,¥¬¤ó¾ðµì,S-01,Polypedates braueri,418,5162
275,ºÑ²´¾ðµì,S-01,Kurixalus berylliniris,2486,2847
276,¤ý¤ó¾ðµì,S-01,Kurixalus wangi,0,10000
277,¨È¬wÀAµì,S-01,Kaloula pulchra,68,3940
278,¤Ó¥Ð¾ðµì,S-01,Buergeria otai,0,10000
279,»OÆW¤sÅÂÀl,S-01,Arborophila crudigularis,993,1944
280,»OÆW¤sÅÂÀl,S-02,Arborophila crudigularis,1246,1682
281,»OÆW¤sÅÂÀl,D-01,Arborophila crudigularis,0,10000
283,¥Õ­±ÄÓ¹«,S-01,Petaurista alborufus,782,5316
284,¤Ó¥Ð¾ðµì,S-02,Buergeria otai,0,10000
285,¿Aµì,S-02,Fejervarya kawamurai,1055,3183
286,ÆN´³øf,C-01,Tringa glareola,0,10000
287,»OÆW±öªá³À,S-01,Cervus nippon,0,10000
288,»OÆW±öªá³À,S-02,Cervus nippon,0,10000
290,»ñÀY»aÆN,S-01,Accipiter trivirgatus,3101,4532
291,»ñÀY»aÆN,C-01,Accipiter trivirgatus,4374,5765
292,ªø§kªQ¹«,C-01,Dremomys pernyi,1720,8168
293,»OÆWônµU,C-01,Macaca cyclopis,469,1050
294,»â¨¤ì¦,S-02,Otus lettia,416,1373
295,¶ÀÀV½»,EL-01,Arielulus torquatus,0,10000
296,ªQ³¶ÆN,S-01,Accipiter virgatus,3276,4584
297,ªQ³¶ÆN,C-01,Accipiter virgatus,3485,4316
298,ÂÅ¸¡øp,Ua-01,Lophura swinhoii,810,1609
299,ÂÅ¸¡øp,Ub-01,Lophura swinhoii,2733,7684
300,¶Âªø§À¹n,U-01,Syrmaticus mikado,251,790
301,¶Âªø§À¹n,U-02,Syrmaticus mikado,284,1530
302,¶Âªø§À¹n,S-01,Syrmaticus mikado,2053,9641
303,¨ª¸¡ªQ¹«,C-01,Callosciurus erythraeus,1446,1910
304,´Ä¤T³kÄL,S-01,Turnix suscitator,155,438
305,¦Ç¯Ý¯±Âû,S-01,Gallirallus striatus,0,10000
306,¤K­ô,C-01,Acridotheres cristatellus,2626,4007
307,¥Õ¸¡¯±Âû,Sa-01,Amaurornis phoenicurus,835,1573
308,¥Õ¸¡¯±Âû,Sb-01,Amaurornis phoenicurus,654,1309
309,¤p°Å§À,C-01,Enicurus scouleri,4412,4928
310,¤pÅs¼L,C-03,Pomatorhinus musicus,1297,2615
311,¥Õ¸¡¯±Âû,Sc-01,Amaurornis phoenicurus,755,2350
